video_time,x_rot,y_rot,z_rot,quat_x,quat_y,quat_z,quat_w,left_eye_vector_x,left_eye_vector_y,left_eye_vector_z,right_eye_vector_x,right_eye_vector_y,right_eye_vector_z,left_eye_texture_x,left_eye_texture_y,right_eye_texture_x,right_eye_texture_y
1.033073,8.353421,151.7789,357.7172,-0.001514637,0.9674131,-0.07546461,0.2416912,0.4678591,-0.1452788,-0.8717809,0.4678591,-0.1452788,-0.8717809,574.8818,929.483,574.8818,929.483
1.060995,7.732577,152.8124,357.4545,-0.005696041,0.9698871,-0.07073186,0.2329883,0.4527505,-0.1345496,-0.8814269,0.4527505,-0.1345496,-0.8814269,586.6216,936.4922,586.6216,936.4922
1.089988,7.105729,153.8276,357.1399,-0.01023555,0.9722059,-0.06598113,0.2244046,0.4376856,-0.1237007,-0.8905782,0.4376856,-0.1237007,-0.8905782,598.1481,943.5405,598.1481,943.5405
1.118613,6.463706,154.7278,356.9211,-0.01384452,0.9742068,-0.06085889,0.2168538,0.4242061,-0.1125738,-0.8985413,0.4242061,-0.1125738,-0.8985413,608.3289,950.7473,608.3289,950.7473
1.146799,5.799461,155.6286,356.7019,-0.01741885,0.9761201,-0.05549445,0.2093003,0.4105378,-0.1010469,-0.9062275,0.4105378,-0.1010469,-0.9062275,618.5676,958.196,618.5676,958.196
1.175732,5.215316,156.4445,356.4193,-0.02127065,0.9777459,-0.0508873,0.202413,0.3979818,-0.09089878,-0.912879,0.3979818,-0.09089878,-0.912879,627.8867,964.743,627.8867,964.743
1.20476,4.730552,157.126,356.1392,-0.02480985,0.9790282,-0.04710152,0.1966461,0.3873813,-0.08246992,-0.9182235,0.3873813,-0.08246992,-0.9182235,635.7,970.1785,635.7,970.1785
1.232698,4.379206,157.4724,356.0179,-0.02659148,0.9796897,-0.04422939,0.1937647,0.3820108,-0.07635716,-0.920998,0.3820108,-0.07635716,-0.920998,639.6819,974.1338,639.6819,974.1338
1.261221,4.099327,157.5484,355.9307,-0.02784439,0.9798692,-0.04196677,0.1931836,0.3809264,-0.07148572,-0.9218378,0.3809264,-0.07148572,-0.9218378,640.5538,977.3115,640.5538,977.3115
1.290737,3.917889,157.6098,355.7805,-0.02945989,0.9799782,-0.04065342,0.1926711,0.3800223,-0.06832678,-0.9224503,0.3800223,-0.06832678,-0.9224503,641.257,979.3753,641.257,979.3753
1.318577,3.752846,157.6368,355.6797,-0.03061193,0.9800341,-0.03940487,0.1924665,0.37966,-0.06545269,-0.9228078,0.37966,-0.06545269,-0.9228078,641.567,981.2505,641.567,981.2505
1.347118,3.611721,157.5417,355.6364,-0.03119048,0.9798921,-0.03829712,0.1933186,0.3812517,-0.06299467,-0.9223225,0.3812517,-0.06299467,-0.9223225,640.4752,982.8459,640.4752,982.8459
1.375992,3.592516,157.4019,355.5769,-0.03168579,0.9796429,-0.03827213,0.1945018,0.38351,-0.06266017,-0.9214086,0.38351,-0.06266017,-0.9214086,638.8766,983.0679,638.8766,983.0679
1.404219,3.567218,157.248,355.5448,-0.03195217,0.979377,-0.03815333,0.1958163,0.3859941,-0.06221949,-0.9204006,0.3859941,-0.06221949,-0.9204006,637.1147,983.3655,637.1147,983.3655
1.432894,3.566467,157.0788,355.6111,-0.0313308,0.9791054,-0.03807994,0.1972842,0.3887102,-0.06220639,-0.9192578,0.3887102,-0.06220639,-0.9192578,635.1791,983.385,635.1791,983.385
1.460986,3.619372,156.9442,355.6904,-0.0305162,0.9788836,-0.03843117,0.1984409,0.3908466,-0.06312796,-0.9182886,0.3908466,-0.06312796,-0.9182886,633.6398,982.7934,633.6398,982.7934
1.489812,3.641054,156.8496,355.7655,-0.02980454,0.9787347,-0.03851078,0.1992661,0.3923528,-0.06350562,-0.9176199,0.3923528,-0.06350562,-0.9176199,632.5587,982.5533,632.5587,982.5533
1.518816,3.632194,156.7412,355.8496,-0.02906571,0.9785693,-0.03831641,0.2002228,0.3940911,-0.06335129,-0.9168854,0.3940911,-0.06335129,-0.9168854,631.3204,982.6605,631.3204,982.6605
1.546677,3.630105,156.6693,355.9437,-0.02824187,0.9784675,-0.03815188,0.200869,0.3952424,-0.0633149,-0.9163922,0.3952424,-0.0633149,-0.9163922,630.4988,982.6886,630.4988,982.6886
1.575262,3.586441,156.6216,355.9651,-0.02812086,0.978398,-0.03775343,0.2012992,0.3960248,-0.06255434,-0.9161067,0.3960248,-0.06255434,-0.9161067,629.9529,983.1865,629.9529,983.1865
1.603928,3.503531,156.5488,355.9148,-0.0286742,0.9782741,-0.03715248,0.2019337,0.3972237,-0.06111007,-0.9156849,0.3972237,-0.06111007,-0.9156849,629.1201,984.1309,629.1201,984.1309
1.632926,3.445468,156.4696,355.9575,-0.02838731,0.9781563,-0.03660129,0.2026443,0.3985136,-0.06009853,-0.9151913,0.3985136,-0.06009853,-0.9151913,628.2144,984.7938,628.2144,984.7938
1.661116,3.374857,156.3822,356.0117,-0.02802369,0.9780282,-0.03592442,0.2034328,0.3999395,-0.05886832,-0.9146491,0.3999395,-0.05886832,-0.9146491,627.2141,985.5991,627.2141,985.5991
1.68957,3.344675,156.3085,356.0355,-0.02785166,0.9779087,-0.03564257,0.2040796,0.4011278,-0.05834244,-0.9141623,0.4011278,-0.05834244,-0.9141623,626.3719,985.9452,626.3719,985.9452
1.718761,3.309347,156.2521,356.0275,-0.02796636,0.9778128,-0.03536928,0.2045704,0.4020414,-0.05772689,-0.9137999,0.4020414,-0.05772689,-0.9137999,625.7275,986.3486,625.7275,986.3486
1.747447,3.293784,156.2071,356.0545,-0.0277496,0.9777417,-0.03519912,0.2049685,0.4027661,-0.05745571,-0.9134979,0.4027661,-0.05745571,-0.9134979,625.2129,986.5273,625.2129,986.5273
1.775102,3.314974,156.181,356.0758,-0.02752206,0.9776964,-0.03534811,0.2051898,0.4031723,-0.05782494,-0.9132953,0.4031723,-0.05782494,-0.9132953,624.9164,986.2883,624.9164,986.2883
1.803714,3.342171,156.1765,356.1654,-0.02670713,0.9777043,-0.0354207,0.2052473,0.4032343,-0.0582988,-0.9132378,0.4032343,-0.0582988,-0.9132378,624.8647,985.9802,624.8647,985.9802
